lat,lon,university,fuel,cafe,parking,parking_entrance,fast_food,marketplace,restaurant,hospital,school,kindergarten,townhall - community_centre,police,place_of_worship,bank,atm
10.7905646,106.743237,0,0,5,4,0,0,3,0,1,12,2,0,2,3,1,0
21.006884,105.829832,4,1,41,9,3,12,4,33,9,21,10,0,9,8,30,61
21.0090582,105.7656976,0,0,1,1,1,0,0,0,1,3,0,0,1,2,0,0
21.0869927,105.7867033,2,0,4,1,0,0,2,12,0,6,2,0,1,5,0,0
10.79947,106.629478,2,1,6,1,0,1,1,6,0,19,2,0,0,3,0,5
10.766005,106.649089,0,7,2,1,0,4,6,12,1,34,2,0,3,12,40,8
20.964522,105.771492,1,3,7,1,0,0,2,3,6,12,0,0,3,1,2,11
10.734934,106.666472,0,3,6,1,0,1,0,6,1,12,2,0,1,6,1,1
10.857481,106.626047,5,6,5,3,0,0,1,5,1,1,1,0,0,1,0,3
21.000986,105.85065,5,5,23,10,5,10,1,17,5,20,11,0,8,4,16,54
21.065201,105.789889,0,2,7,1,1,1,2,3,1,5,2,0,1,4,1,1
10.8398992,106.7943309,5,1,1,0,0,0,1,2,1,5,0,0,0,2,0,5
21.0159883,105.9375721,1,3,2,6,0,0,2,1,1,9,2,0,5,4,3,2
21.033773,105.827155,0,2,45,11,3,7,3,55,2,16,6,0,9,22,13,73
10.7933499,106.6390157,1,9,10,4,0,3,5,7,1,17,6,0,1,8,11,9
10.844574,106.693509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.800942,106.627756,3,2,5,1,0,2,1,6,0,21,2,0,0,2,0,3
10.8076556,106.8646754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7822337,106.7730842,0,1,1,0,0,0,1,2,3,8,1,0,1,6,0,0
10.7226516,106.6129353,0,5,0,0,0,0,1,0,0,4,1,0,0,0,1,3
10.7596073,106.6533928,0,13,10,3,0,8,5,16,7,23,1,0,1,13,38,8
21.077481,105.777653,6,3,54,2,0,21,3,143,2,5,2,0,2,2,3,5
10.790554,106.64341,1,9,8,5,0,3,4,7,1,20,7,0,1,16,9,7
21.032808,105.8032427,3,2,26,5,0,6,4,32,4,17,3,0,4,15,9,40
21.1573051,105.8155743,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
20.989303,105.786852,6,3,3,2,0,0,1,2,2,12,1,0,2,3,1,7
10.883081,106.629208,0,2,1,0,0,0,0,0,0,3,0,0,0,1,0,0
10.786903,106.679468,3,4,55,2,2,7,3,57,6,16,3,0,1,37,35,20
21.016497,105.941,1,3,1,6,0,0,2,0,1,10,3,0,5,4,1,1
21.0673499,105.7975807,2,1,4,5,1,1,1,1,1,11,3,0,2,2,0,1
21.008299,105.774104,0,0,4,0,4,1,2,6,1,8,0,0,1,3,1,3
21.0290681,105.8274677,3,1,44,8,1,7,3,62,1,16,5,0,9,26,13,90
21.0146882,105.8276803,5,4,42,6,3,10,4,49,4,23,6,0,10,13,29,60
10.829966,106.702617,3,1,3,0,0,0,0,1,0,3,1,0,3,4,1,0
10.766512,106.6962449,6,3,181,13,0,27,9,303,6,24,6,0,12,45,78,46
21.067521,105.803723,2,1,7,5,0,2,0,5,1,11,2,0,3,4,1,4
10.825837,106.807283,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
21.068437,105.807819,2,0,11,5,4,3,0,6,1,10,2,0,3,4,3,4
21.1682585,105.7335262,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
10.8512006,106.7766741,4,4,12,3,0,7,0,15,2,9,1,0,8,2,11,11
10.764602,106.666131,4,10,42,6,0,18,6,56,19,38,2,0,0,10,34,10
10.735218,106.556811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.024249,105.82053,4,4,35,8,0,9,0,53,0,24,4,0,6,5,13,66
21.046223,105.841721,0,3,48,7,3,17,2,70,6,17,7,0,6,19,28,33
10.7704705,106.689093,6,7,152,12,0,33,6,288,10,22,6,0,7,32,58,54
10.779138,106.624127,0,12,1,0,0,2,4,1,0,8,2,0,0,4,0,4
10.6671414,106.5792282,0,2,0,0,0,0,1,0,0,3,1,0,0,0,0,0
21.0085593,105.905286,0,0,0,5,0,0,0,1,0,2,4,0,1,4,0,1
10.780733,106.676179,6,7,48,0,0,4,3,48,7,15,2,0,2,27,19,10
21.000553,105.863646,1,5,8,1,3,1,4,5,4,19,8,0,5,2,4,23
21.033771,105.7788271,13,3,36,18,20,9,4,36,3,18,5,0,3,9,13,17
21.012416,105.849162,2,4,98,13,6,23,1,157,8,18,13,0,9,9,32,83
10.7717818,106.6696878,7,5,51,1,0,19,6,67,7,23,4,0,2,12,36,7
21.0462748,105.7188631,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0
10.707558,106.561275,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
10.792522,106.7306704,0,3,7,4,0,0,2,9,0,8,1,0,0,3,1,1
21.0349057,105.8255796,0,3,43,10,3,7,3,52,2,18,6,0,7,28,14,74
10.801862,106.677234,3,4,25,4,2,3,1,20,3,24,2,0,1,22,34,30
21.0437269,105.7993488,3,3,25,25,6,4,4,12,0,11,7,0,4,13,8,26
10.8059459,106.7115959,6,8,14,2,0,2,0,10,0,8,0,0,2,4,11,8
10.855583,106.766886,3,2,18,1,0,3,2,11,1,14,3,0,4,6,9,15
10.82951,106.639651,0,2,1,0,0,0,1,2,0,4,0,0,0,0,0,2
21.0410202,105.9048583,0,3,6,3,2,0,2,3,1,13,3,0,2,4,4,3
10.836776,106.683223,1,9,7,0,0,0,1,5,2,4,3,0,0,3,5,5
10.851773,106.753204,4,6,8,0,0,2,3,3,0,13,3,0,1,8,2,4
10.876948,106.677443,1,1,1,1,0,0,1,0,0,5,0,0,0,1,0,0
21.0425445,105.8248847,0,4,28,11,4,4,2,28,1,11,3,0,4,22,10,26
20.9712201,105.8274289,0,2,6,4,0,5,3,8,3,8,6,0,1,2,4,7
21.0094449,105.7792251,0,1,10,4,6,1,2,8,1,8,0,0,1,2,1,7
21.004792,105.811354,3,7,21,3,4,22,5,48,3,27,7,0,6,7,16,27
10.826109,106.693883,5,3,9,5,0,3,2,12,2,16,0,0,0,5,6,7
10.766752,106.674816,7,5,53,6,0,17,15,97,7,31,5,0,1,13,41,9
21.0261488,105.8936538,0,1,3,6,0,7,1,36,0,2,2,0,1,0,1,1
