model_name,city,version,rmse,max_error,explained_variance_score
la,hn,4,91.70490871461782,641.0418439854695,0.5634037257405943
lgbm,hn,4,59.08369045779371,471.8537363682648,0.8170769768023634
linear,hn,4,91.33571294729003,640.0600451671894,0.5670257056217909
mlp,hn,4,68.81270486917388,561.3540465362328,0.7510234609085749
rf,hn,4,59.64712229811511,516.4162308646353,0.8129873086914285
ridge,hn,4,91.33530439542947,640.0848161930139,0.5670287814219366
xgb,hn,4,58.91296553351512,525.7316756422503,0.8182073404111228
bagging,hn,4,58.5679782902124,502.6955912299535,0.8202104827945619
BKPrice Post Processing,hn,4,44.5622021381039,383.88212445390207,0.8955457957285942
abr,hcm,5,116.86969175928542,748.5035182144818,0.6378748019338432
cat,hcm,5,63.76502208915593,820.7049353010914,0.8007062116915066
etr,hcm,5,63.89924626755232,875.356575353698,0.799691586601717
gbr,hcm,5,63.609916373838885,644.0780789012414,0.8025575278792657
knr,hcm,5,111.21003286055716,832.5658070015082,0.4079180461415835
la,hcm,5,81.07206107715915,890.0962569328956,0.6785680950527104
lgbm,hcm,5,60.88872560493186,800.976903327745,0.8183043378682646
linear,hcm,5,79.95219356872315,887.8195190429688,0.6883432212363817
mlp,hcm,5,76.53469057690542,846.1748072564031,0.7136981837476223
rf,hcm,5,61.46132427635346,792.2910311845325,0.8147167583533949
ridge,hcm,5,79.98494573168887,888.7480876767113,0.6875892394162519
xgb,hcm,5,60.62050201774736,689.1941528320312,0.8200254089261261
bagging,hcm,5,60.187562772361055,713.5235061285086,0.8223208156207246
BKPrice Post Processing,hcm,5,44.72947254332814,612.7493943361906,0.901848876651611
abr,hn,5,99.02781392720472,483.4038051647048,0.6299820125690657
cat,hn,5,56.1446079446532,530.1586587313984,0.8348665731687354
etr,hn,5,58.95798574560696,553.6660494891996,0.8170855912079293
gbr,hn,5,57.84588791200006,557.3175872499644,0.8251070622995701
knr,hn,5,108.95156037517776,832.0507396552681,0.3843358250557677
la,hn,5,83.88511329455511,591.394263817638,0.6331382222592898
lgbm,hn,5,55.93252140033518,466.3314356769861,0.8361783547623073
linear,hn,5,82.26343395188171,571.0712628108199,0.6474802357823746
mlp,hn,5,70.34879004425935,539.766812649331,0.7400331941575378
rf,hn,5,56.90406973302433,499.4895334111641,0.8297385604751276
ridge,hn,5,82.2538973613574,571.4459318217691,0.6475393108141569
xgb,hn,5,55.54647419997959,449.40911865234375,0.8385238004160449
bagging,hn,5,55.25406634714773,446.9194357703877,0.840011497537064
BKPrice Post Processing,hn,5,41.27059007725176,387.5667276265792,0.9103719392668912
